Form,Loss on testing set,MSE on testing set,Thetas after fit,Alpha
x1p1 x2p1 x3p1,477497368.81906915,954994737.6381383,"[643958.0280094992, 91365.52491448939, -4722.738953605486, -663.3338870113142]",0.005
x1p1 x2p1 x3p2,477557724.9656463,955115449.9312927,"[644189.7386778003, 91366.20376924134, -4724.21186728306, -665.7322132514453, -232.86838548961111]",0.005
x1p1 x2p1 x3p3,477710895.2030966,955421790.4061933,"[644189.1914351165, 91365.40033460177, -4724.846119671715, -1103.0293592199034, -230.2706265771681, 245.24133941270333]",0.005
x1p1 x2p1 x3p4,477949472.7593161,955898945.5186322,"[643924.6778375173, 91364.89336076683, -4725.424617918755, -1102.5490504339807, 676.2216457535385, 243.16384377040123, -359.27489311966724]",0.005
x1p1 x2p2 x3p1,141809032.33047467,283618064.66094935,"[617681.785600986, 91169.91686041838, -5113.069743797892, 26340.88431913247, -535.0207694059179]",0.005
x1p1 x2p2 x3p2,141796914.66762623,283593829.33525246,"[617819.143637378, 91170.32098283031, -5113.934911224866, 26340.507396946214, -536.4404410228892, -137.6664550740861]",0.005
x1p1 x2p2 x3p3,141893489.0180986,283786978.0361972,"[617817.799186266, 91170.93251444702, -5113.467930729951, 26342.27531559823, -196.42865270660016, -139.67985010570078, -190.67770965176658]",0.005
x1p1 x2p2 x3p4,142075745.51155895,284151491.0231179,"[618045.2259553405, 91171.35060062114, -5113.008592382906, 26345.480014102908, -196.73914742572168, -930.7289672591846, -188.91527102721125, 313.6095524436547]",0.005
x1p1 x2p3 x3p1,62765862.96167138,125531725.92334276,"[618431.5132994247, 91162.99825098422, -33826.83267348092, 25480.705624131457, 14112.61305873378, -576.9648098496016]",0.005
x1p1 x2p3 x3p2,62748702.45459143,125497404.90918286,"[618552.8797961634, 91163.35540849004, -33827.332950449236, 25480.380480083088, 14112.483201803914, -578.2188853736375, -121.64592270038642]",0.005
x1p1 x2p3 x3p3,62774852.23062358,125549704.46124716,"[618552.1544250514, 91163.67499702128, -33826.179564678794, 25481.331007486537, 14112.036183121521, -400.64890284802686, -122.6979109247957, -99.58003340215626]",0.005
x1p1 x2p3 x3p4,62845756.35730807,125691512.71461613,"[618694.1482304605, 91163.93640155804, -33824.252668974725, 25483.392078350433, 14111.230243737085, -400.8311533299579, -616.909270898046, -98.48382674780333, 195.9458103638383]",0.005
x1p1 x2p4 x3p1,58208081.58843429,116416163.17686857,"[616099.3128031624, 91162.46776010035, -34882.1598863968, 33777.83053396994, 14716.17898283508, -2930.4534763119254, -565.9670272372638]",0.005
x1p1 x2p4 x3p2,58193944.93561461,116387889.87122922,"[616230.5769591023, 91162.85507939954, -34882.87525652431, 33778.8350125614, 14716.136890626687, -2930.932757901547, -567.3255186811064, -131.94888946587727]",0.005
