Form,Lambda,Loss on validation set,MSE on validation set,Thetas after fit,Alpha
x^1,0.0,490160818.5700969,980321637.1401938,"[644505.7408260563, 91133.440140724, -4775.392876233218, -387.34619332820705]",0.007
x^1,0.2,491021650.9219424,980343889.6711947,"[644505.8972606409, 91127.20575125562, -4775.1473574835945, -387.2800851949075]",0.007
x^1,0.4,491882288.15782726,980366216.6422478,"[644506.0536737831, 91120.97221488433, -4774.901861331471, -387.2139915546532]",0.007
x^1,0.6,492742730.3336409,980388618.0221744,"[644506.2100654873, 91114.73953143503, -4774.656387774428, -387.1479124033415]",0.007
x^1,0.8,493602977.5052534,980411093.7798089,"[644506.3664357581, 91108.50770073259, -4774.410936810078, -387.08184773687503]",0.007
x^1,1.0,494463029.7285154,980433643.883999,"[644506.5227845998, 91102.27672260202, -4774.1655084360045, -387.0157975511675]",0.007
x^2,0.0,85347092.70190166,170694185.4038033,"[630411.4242002993, 91223.08339711295, -5108.9919958956025, -292.67818091431354, -12136.029875442946, 26266.949515646327, -301.5200265327789]",0.007
x^2,0.2,86284808.38964495,170695351.1994817,"[630412.0198927609, 91216.82977579795, -5108.7098127877425, -292.63225467220906, -12134.810069201763, 26265.22941390591, -301.43912287361456]",0.007
x^2,0.4,87222310.75772542,170696606.10018125,"[630412.615592989, 91210.5770132516, -5108.427657679031, -292.58633703116584, -12133.590499417052, 26263.509537479593, -301.3582403564753]",0.007
x^2,0.6,88159599.86772065,170697950.06880352,"[630413.2113009591, 91204.32510929667, -5108.1455305662585, -292.54042798925485, -12132.37116602166, 26261.7898863231, -301.27737897450396]",0.007
x^2,0.8,89096675.78118597,170699383.06826505,"[630413.8070166466, 91198.07406375592, -5107.863431446232, -292.4945275445602, -12131.152068948439, 26260.07046039214, -301.19653872084325]",0.007
x^2,1.0,90033538.55965523,170700905.06149852,"[630414.402740027, 91191.82387645224, -5107.581360315724, -292.4486356951697, -12129.93320813031, 26258.35125964246, -301.1157195886782]",0.007
x^3,0.0,3422741.9281802145,6845483.856360429,"[630743.0192693237, 91201.51793724475, -33661.487257667926, -621.2973363450466, -12033.646015698669, 25395.970288732606, -146.9459765107478, -0.5214178213835866, 14083.062398447571, 46.20090594019102]",0.007
x^3,0.2,4486671.508740012,6844690.768392554,"[630743.8794379369, 91159.89030291715, -33645.8968783837, -621.2250540472639, -12032.78566101721, 25394.48083941429, -146.83287680908722, 19.565689012137344, 14076.450163828988, 46.29663149969248]",0.007
x^3,0.4,5549084.40839799,6844500.386163726,"[630744.7392247015, 91118.30945081636, -33630.32119617866, -621.1525512671151, -12031.925196821527, 25392.99144878053, -146.71987745966928, 39.62946997283507, 14069.844189592213, 46.39210833686093]",0.007
x^3,0.6,6609984.085599486,6844910.74385629,"[630745.59863027, 91076.77530163302, -33614.76019021683, -621.0798289085368, -12031.064623562177, 25391.502116956814, -146.60697829584652, 59.66996463596202, 14063.24446684329, 46.48733712323448]",0.007
x^3,0.8,7669373.988955015,6845919.882175813,"[630746.4576552939, 91035.28777623687, -33599.21383970158, -621.0068878721019, -12030.203941688831, 25390.012844068286, -146.49417915147967, 79.68721248740151, 14056.65098670509, 46.58231852821285]",0.007
x^3,1.0,8727257.557273585,6847525.848326827,"[630747.3163004232, 90993.84679567638, -33583.68212387559, -620.9337290551822, -12029.343151650208, 25388.523630239964, -146.38147986089012, 99.68125292387394, 14050.063740317297, 46.67705321912782]",0.007
x^4,0.0,8661.933424138912,17323.866848277823,"[628254.4263375205, 91159.06284195563, -34680.88933928485, -547.8172601531255, -12030.774430183872, 34044.73472481103, -149.60288211115054, 1.8317295368362325, 14684.51128291347, 2.08633442012908, 0.31878594176045494, -3052.203870472634, 0.7288961951064237]",0.007
x^4,0.2,1134555.658671191,18077.948173979603,"[628258.7819960807, 91117.27786536202, -34661.6340912161, -548.03713791334, -12014.348116384781, 34014.34517017403, -147.01416897528753, 22.067662599859048, 14675.784097619144, 2.3386510908913265, -5.974795864747066, -3042.193696273102, -0.2358138781881878]",0.007
x^4,0.4,2258459.5710825194,19631.38339567128,"[628263.1378469074, 91075.54061451936, -34642.40243181527, -548.2559192524438, -11997.97065645746, 33984.01155434069, -144.43566966396588, 42.27967199926487, 14667.067966182714, 2.5902935854320823, -12.249697481019895, -3032.2019397626573, -1.1967472741999958]",0.007
x^4,0.6,3380379.250377966,21980.91134912741,"[628267.493855636, 91033.85100496197, -34623.1943137337, -548.4736078979548, -11981.641837268013, 33953.73372599126, -141.8673365388842, 62.46780020979663, 14658.362865600739, 2.84126380580754, -18.506000022907173, -3022.2285512347676, -2.1539215816757875]",0.007
x^4,0.8,4500320.255154713,25123.285642823874,"[628271.8499882058, 90992.2089524351, -34604.00968975892, -548.6902075636489, -11965.361446896874, 33923.511534349236, -139.30912222800495, 82.63208959971186, 14649.668772938576, 3.091563648187325, -24.743784144699045, -3012.27348116115, -3.1073542908435123]",0.007
x^4,1.0,5618288.12299408,29055.2745739861,"[628276.2062108652, 90950.61437289554, -34584.84851281341, -548.9057219496498, -11949.129274634499, 33893.344829174785, -136.76097962832304, 102.77258243084664, 14640.985665329836, 3.341195002926966, -30.963130041423746, -3002.3366801899356, -4.057062792979806]",0.007
